Upazila,উপজিলা
Abhaynagar,অভয়নগর
Adabor,আদাবর
Adamdighi,আদমদীঘি
Aditmari,আদিতমারি
Agailjhara,আগৈলঝাড়া
Ajmiriganj,আজমিরিগঞ্জ
Akhaura,আখাউড়া
Akkelpur,আক্কেলপুর
Alamdanga,আলমডাঙ্গা
Alfadanga,আলফাডাঙ্গা
Alikadam,আলিকদম
Amtali,আমতলী
Anowara,আনোয়ারা
Araihazar,আড়াইহাজার
Ashuganj,আশুগঞ্জ
Assasuni,আশাশুনি
Atgharia,আটঘরিয়া
Atpara,আটপাড়া
Atrai,আত্রাই
Atwari,আটোয়ারী
Austagram,অস্টগ্রাম
Babuganj,বাবুগঞ্জ
Badalgachhi,বদলগাছি
Badarganj,বদরগঞ্জ
Badda,বাড্ডা
Bagati Para,বাগাটিপাড়া
Bagerhat Sadar,বাগেরহাট সদর
Bagha,বাঘা
Baghai Chhari,বাঘাই ছড়ি
Bagher Para,বাঘের পাড়া
Baghmara,বাঘমারা
Bahubal,বাহুবল
Bajitpur,বাজিতপুর
Bakalia,বাকালিয়া
Bakerganj,বাকেরগঞ্জ
Bakshiganj,বকশিগঞ্জ
Balaganj,বালাগঞ্জ
Balia Kandi,বালিয়া কান্দি
Baliadangi,বালিয়াডাঙ্গি
Bamna,বামনা
Banari Para,বানারী পাড়া
Banchharampur,বাঞ্ছারামপুর
Bandar,বন্দর
Bandarban Sadar,বান্দরবান সদর
Bangshal,বংশাল
Baniachong,বানিয়াচং
Banshkhali,বাঁশখালী
Baraigram,বড়াইগ্রাম
Barguna Sadar,বরগুনা সদর
Barhatta,বারহাট্টা
Barisal Sadar (Kotwali),বরিশাল সদর (কোতওয়ালি)
Barkal,বরকল
Barlekha,বরলেখা
Barura,বরুড়া
Basail,বাসাইল
Batiaghata,বাটিয়াঘাটা
Bauphal,বাউফল
Bayejid Bostami,বায়েজিদ বোস্তামী
Beani Bazar,বিয়ানী বাজার
Begumganj,বেগমগঞ্জ
Belabo,বেলাবো
Belai Chhari,বেলাই ছড়ি
Belkuchi,বেলকুচি
Bera,বেড়া
Betagi,বেতাগী
Bhairab,ভৈরব
Bhaluka,ভালুকা
Bhandaria,ভান্ডারিয়া
Bhanga,ভাঙ্গা
Bhangura,ভাঙ্গুরা
Bhedarganj,ভেদরগঞ্জ
Bheramara,ভেড়ামারা
Bhola Sadar,ভোলা সদর
Bholahat,ভোলাহাট
Bhuapur,ভূঞাপুর
Bhurungamari,ভুরুঙ্গামারি
Bijoynagar,বিজয়নগর
Biman Bandar,বিমান বন্দর
Biral,বিরল
Birampur,বিরামপুর
Birganj,বীরগঞ্জ
Bishwambarpur,বিশ্বম্ভরপুর
Bishwanath,বিশ্বনাথ
Boalia,বোয়ালিয়া
Boalkhali,বোয়ালখালী
Boalmari,বোয়ালমারি
Bochaganj,বোচাগঞ্জ
Boda,বোদা
Bogra Sadar,বগুড়া সদর
Brahman Para,ব্রাহ্মণপাড়া
Brahmanbaria Sadar,ব্রাহ্মণবাড়িয়া সদর
Burhanuddin,বোরহানউদ্দিন
Burichang,বুড়িচং
Cantonment,ক্যান্টনমেন্ট
Chak Bazar,চক বাজার
Chakaria,চকরিয়া
Chandanaish,চন্দনাইশ
Chandgaon,চান্দগাঁও
Chandina,চান্দিনা
Chandpur Sadar,চাঁদপুর সদর
Char Bhadrasan,চরভদ্রাসন
Char Fasson,চর ফ্যাসন
Char Rajibpur,চর রাজিবপুর
Charghat,চারঘাট
Chatkhil,চাটখিল
Chatmohar,চাটমোহর
Chauddagram,চৌদ্দগ্রাম
Chaugachha,চৌগাছা
Chauhali,চৌহালি
Chhagalnaiya,ছাগলনাইয়া
Chhatak,ছাতক
Chilmari,চিলমারী
Chirirbandar,চিরিরবন্দর
Chitalmari,চিতলমারী
Chuadanga Sadar,চুয়াডাঙ্গা সদর
Chunarughat,চুনারুঘাট
Comilla Adarsha Sadar,কুমিল্লা আদর্শ সদর
Comilla Sadar Dakshin,কুমিল্লা সদর দক্ষিণ
Companiganj,কোম্পানিগঞ্জ
Cox's Bazar Sadar,কক্সবাজার সদর
Dacope,দাকোপ
Daganbhuiyan,দাগনভূঞা
Dakshin Sunamganj,দক্ষিণ সুনামগঞ্জ
Dakshin Surma,দক্ষিণ সুরমা
Dakshinkhan,দক্ষিণখান
Damudya,ডামুড্যা
Damurhuda,দামুড়হুদা
Darus Salam,দারুস সালাম
Dashmina,দশমিনা
Daudkandi,দাউদকান্দি
Daulatkhan,দৌলতখান
Daulatpur,দৌলতপুর
Debhata,দেবহাটা
Debidwar,দেবিদ্বার
Debiganj,দেবীগঞ্জ
Delduar,দেলদুয়ার
Demra,ডেমরা
Derai,দিরাই
Dewanganj,দেওয়ানগঞ্জ
Dhamoirhat,ধামইরহাট
Dhamrai,ধামরাই
Dhanbari,ধানবাড়ি
Dhanmondi,ধানমন্ডি
Dharampasha,ধর্মপাশা
Dhobaura,ধোবাউড়া
Dhunat,ধুনট
Dhupchanchia,দুপচাঁচিয়া
Dighalia,দিঘলিয়া
Dighinala,দীঘিনালা
Dimla,ডিমলা
Dinajpur Sadar,দিনাজপুর সদর
Dohar,দোহার
Domar,ডোমার
Dowarabazar,দোয়ারাবাজার
Dumki,দুমকি
Dumuria,ডুমুরিয়া
Durgapur,দুর্গাপুর
Fakirhat,ফকিরহাট
Faridganj,ফরিদগঞ্জ
Faridpur,ফরিদপুর
Faridpur Sadar,ফরিদপুর সদর
Fatikchhari,ফটিকছড়ি
Fenchuganj,ফেঞ্চুগঞ্জ
Feni Sadar,ফেনী সদর
Fulbari,ফুলবাড়ী
Fulbaria,ফুলবাড়িয়া
Fulchhari,ফুলছড়ি
Fulgazi,ফুলগাজি
Gabtali,গাবতলী
Gaffargaon,গফরগাঁও
Gaibandha Sadar,গাইবান্ধা সদর
Galachipa,গলাচিপা
Gangachara,গংগাচড়া
Gangni,গাংনী
Gauripur,গৌরীপুর
Gaurnadi,গৌরনদী
Gazaria,গজারিয়া
Gazipur Sadar,গাজীপুর সদর
Gendaria,গেন্ডারিয়া
Ghatail,ঘাটাইল
Ghior,ঘিওর
Ghoraghat,ঘোড়াঘাট
Goalandaghat,গোয়ালন্দঘাট
Gobindaganj,গোবিন্দগঞ্জ
Godagari,গোদাগাড়ি
Golabganj,গোলাবগঞ্জ
Gomastapur,গোমস্তাপুর
Gopalganj Sadar,গোপালগঞ্জ সদর
